region_date,state,date,income
southcarolina2011,South Carolina,2011,40084.0
southdakota2011,South Dakota,2011,47223.0
tennessee2011,Tennessee,2011,42279.0
texas2011,Texas,2011,49047.0
utah2011,Utah,2011,55493.0
vermont2011,Vermont,2011,51862.0
virginia2011,Virginia,2011,62616.0
washington2011,Washington,2011,56850.0
westvirginia2011,West Virginia,2011,41821.0
wisconsin2011,Wisconsin,2011,52058.0
wyoming2011,Wyoming,2011,54509.0
unitedstates2010,United States,2010,49276.0
alabama2010,Alabama,2010,40933.0
alaska2010,Alaska,2010,57848.0
arizona2010,Arizona,2010,46896.0
arkansas2010,Arkansas,2010,38587.0
california2010,California,2010,54283.0
colorado2010,Colorado,2010,60233.0
connecticut2010,Connecticut,2010,65998.0
delaware2010,Delaware,2010,55214.0
districtofcolumbia2010,District of Columbia,2010,56928.0
florida2010,Florida,2010,44066.0
georgia2010,Georgia,2010,44117.0
hawaii2010,Hawaii,2010,59539.0
idaho2010,Idaho,2010,47050.0
illinois2010,Illinois,2010,50728.0
indiana2010,Indiana,2010,46139.0
iowa2010,Iowa,2010,49016.0
kansas2010,Kansas,2010,46054.0
kentucky2010,Kentucky,2010,41104.0
louisiana2010,Louisiana,2010,39300.0
maine2010,Maine,2010,47931.0
maryland2010,Maryland,2010,64201.0
massachusetts2010,Massachusetts,2010,60934.0
michigan2010,Michigan,2010,46276.0
minnesota2010,Minnesota,2010,52321.0
mississippi2010,Mississippi,2010,38160.0
missouri2010,Missouri,2010,45817.0
montana2010,Montana,2010,41280.0
nebraska2010,Nebraska,2010,52504.0
nevada2010,Nevada,2010,51200.0
newhampshire2010,New Hampshire,2010,66633.0
newjersey2010,New Jersey,2010,62968.0
newmexico2010,New Mexico,2010,45134.0
newyork2010,New York,2010,49781.0
northcarolina2010,North Carolina,2010,43830.0
northdakota2010,North Dakota,2010,51006.0
ohio2010,Ohio,2010,45886.0
oklahoma2010,Oklahoma,2010,43103.0
oregon2010,Oregon,2010,50602.0
pennsylvania2010,Pennsylvania,2010,48314.0
rhodeisland2010,Rhode Island,2010,51623.0
southcarolina2010,South Carolina,2010,41698.0
southdakota2010,South Dakota,2010,45352.0
tennessee2010,Tennessee,2010,38591.0
texas2010,Texas,2010,47266.0
utah2010,Utah,2010,56701.0
vermont2010,Vermont,2010,55928.0
virginia2010,Virginia,2010,60367.0
washington2010,Washington,2010,56163.0
westvirginia2010,West Virginia,2010,42777.0
wisconsin2010,Wisconsin,2010,50351.0
wyoming2010,Wyoming,2010,52201.0
